id_inspection;name_piece;ref_piece;name_program;state;dents;corrosions;scratches;details;inspection_date;inspection_path;inspection_validated;user_validation;creation_date;user_creation;modification_date;user_modification
14;Rudder;11584-1100;Camera only;Not Good;false;false;false;;2024-12-07;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;1;2024-10-22;10;2024-09-07;
15;Flap;64778-0396;Complete inspection;Average;false;true;false;color consistency verified;2024-06-29;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;1;2025-03-24;4;2024-08-23;
16;Landing gear;44911-0066;Gantry system;Almost perfect;true;true;true;material composition checked;2025-01-22;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;3;2025-02-11;6;2024-11-02;
17;Aileron;55301-616;Camera only;Really bad;false;true;true;;2024-06-26;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;1;2024-07-26;6;2025-01-07;
18;Cockpit window;54868-4191;Rotating table plus camera;Really bad;true;true;false;;2024-12-06;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;1;2025-05-18;4;2025-03-03;
19;Flap;0378-3634;Gantry system;Average;false;false;true;;2025-05-27;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;1;2024-11-03;7;2024-09-20;
20;Landing gear;37808-400;Camera only;Good;true;true;true;packaging condition assessed;2025-05-07;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;2;2024-10-18;6;2025-01-18;
21;Wing A;49035-274;Rotating table plus camera;Good;false;true;true;;2024-11-23;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;3;2024-12-26;5;2025-04-23;2
22;Engine cover;59779-257;Rotating table plus camera;Really bad;true;true;false;;2025-01-30;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;1;2024-07-08;10;2024-11-24;4
23;Wing A;51815-302;Big robot arm;Good;false;true;false;packaging condition assessed;2025-02-05;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;2;2024-08-16;5;2024-09-26;
24;Tail fin;41250-305;Gantry system;Perfect;false;false;true;weight recorded;2025-03-31;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;3;2024-12-04;4;2025-02-11;
25;Flap;36987-2920;Camera only;Average;true;false;true;;2025-04-09;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;2;2025-05-03;6;2024-12-30;
26;Landing gear;36987-2404;Rotating table plus camera;Destroyed;false;true;false;weight recorded;2024-12-25;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;1;2024-08-12;9;2025-02-08;
27;Fuselage panel;36800-198;Gantry system;Perfect;false;true;false;;2024-06-21;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;1;2024-08-07;8;2025-02-14;
28;Cockpit window;49580-0383;Camera only;Not Good;false;false;true;;2025-01-08;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;3;2024-11-24;7;2024-07-27;
29;Aileron;67457-456;Rotating table plus camera;Good;false;true;true;;2025-04-03;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;1;2025-05-11;7;2024-07-28;
30;Rudder;47584-002;Gantry system;Perfect;true;false;false;weight recorded;2025-05-30;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;1;2025-03-18;10;2024-07-26;
31;Engine cover;68405-680;Rotating table plus camera;Perfect;true;true;false;;2024-08-25;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;3;2024-06-29;6;2024-07-27;
32;Cockpit window;55560-0102;Gantry system;Almost perfect;true;true;false;;2024-12-20;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;3;2024-07-24;6;2024-11-11;
33;Engine cover;36800-124;Big robot arm;Not Good;true;false;true;weight recorded;2024-08-31;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;3;2025-05-06;5;2024-12-16;9
34;Elevator;76378-017;Complete inspection;Perfect;true;true;false;dimensions measured;2025-01-25;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;1;2025-03-02;9;2025-02-28;
35;Rudder;55319-141;Rotating table plus camera;Perfect;false;true;false;material composition checked;2024-12-05;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;1;2025-04-09;7;2025-05-05;
36;Elevator;48951-1188;Rotating table plus camera;Average;true;true;false;;2025-02-17;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;2;2024-12-13;9;2024-08-14;8
37;Landing gear;11023-003;Gantry system;Perfect;true;true;false;weight recorded;2024-09-07;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;3;2024-10-10;10;2025-01-28;
38;Flap;49288-0860;Complete inspection;Really bad;true;false;false;;2025-02-12;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;1;2024-08-17;5;2025-02-16;
39;Fuselage panel;63629-4642;Complete inspection;Not Good;true;false;true;;2024-07-18;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;2;2024-09-02;9;2024-12-25;6
40;Engine cover;68788-9727;Gantry system;Destroyed;false;false;false;dimensions measured;2025-04-09;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;1;2025-01-07;4;2025-05-29;
41;Wing A;37205-754;Complete inspection;Really bad;true;false;true;;2025-03-27;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;1;2025-05-01;4;2024-10-15;
42;Aileron;49999-106;Complete inspection;Destroyed;true;false;false;;2025-03-23;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;3;2024-12-12;10;2024-11-09;
43;Flap;41163-226;Complete inspection;Almost perfect;false;false;false;;2024-08-27;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;3;2025-03-18;10;2025-05-16;
44;Flap;0093-7365;Big robot arm;Almost perfect;false;true;false;surface finish inspected;2024-10-31;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2024-07-03;8;2024-12-29;3
45;Fuselage panel;59970-050;Rotating table plus camera;Almost perfect;true;true;true;material composition checked;2024-10-31;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;2;2025-01-07;9;2025-06-02;
46;Aileron;55910-321;Big robot arm;Average;true;true;false;dimensions measured;2025-01-19;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;false;1;2024-10-29;10;2025-01-09;2
47;Fuselage panel;0185-0939;Big robot arm;Destroyed;true;false;true;;2024-09-24;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;1;2024-10-05;8;2024-11-18;3
48;Landing gear;0409-1890;Camera only;Good;false;false;false;weight recorded;2025-01-27;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;2;2025-05-08;5;2024-09-06;
49;Engine cover;64735-040;Gantry system;Almost perfect;false;true;true;packaging condition assessed;2024-06-11;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;1;2025-01-22;10;2024-06-12;
50;Fuselage panel;41250-544;Camera only;Good;false;true;false;packaging condition assessed;2024-06-21;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;1;2024-07-28;6;2025-05-08;
51;Rudder;0009-5400;Camera only;Good;true;true;true;color consistency verified;2025-05-17;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;1;2025-03-19;4;2024-12-18;
52;Fuselage panel;43406-0099;Gantry system;Destroyed;true;false;true;;2025-03-10;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;1;2024-09-30;5;2025-06-07;2
53;Wing A;49483-222;Gantry system;Good;true;true;true;;2024-07-26;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;3;2024-11-17;5;2024-07-29;
54;Wing A;50988-273;Gantry system;Average;true;false;false;;2024-10-24;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;false;3;2025-02-12;4;2025-04-10;4
55;Tail fin;51672-1260;Camera only;Really bad;true;false;true;;2025-02-24;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;1;2024-08-02;6;2025-03-24;
56;Rudder;55154-1817;Rotating table plus camera;Destroyed;false;true;true;surface finish inspected;2024-07-07;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;1;2025-03-27;6;2025-04-28;
57;Fuselage panel;55154-5359;Camera only;Average;false;true;false;surface finish inspected;2024-07-13;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;1;2025-05-19;9;2025-04-20;
58;Wing A;15127-226;Complete inspection;Not Good;false;false;true;dimensions measured;2025-01-21;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;true;2;2025-03-25;4;2025-02-19;
59;Wing A;0093-6137;Camera only;Not Good;true;false;false;material composition checked;2025-04-16;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;3;2024-08-31;7;2025-04-13;
60;Cockpit window;36987-1519;Gantry system;Average;true;true;false;weight recorded;2025-02-10;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;false;1;2025-05-08;10;2025-02-09;4
61;Elevator;11822-3670;Camera only;Perfect;true;false;true;;2024-11-18;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;3;2025-02-24;9;2024-06-13;
62;Rudder;50563-110;Complete inspection;Average;false;false;true;;2024-09-07;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;1;2024-08-16;5;2025-03-02;
63;Flap;53808-0375;Rotating table plus camera;Really bad;false;false;false;material composition checked;2024-08-24;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;2;2024-07-25;4;2025-01-21;10
64;Flap;0113-0335;Complete inspection;Destroyed;false;false;true;;2025-02-13;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;1;2024-11-18;4;2025-05-04;
65;Rudder;55312-419;Gantry system;Not Good;false;false;false;material composition checked;2024-08-31;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;1;2025-01-02;7;2024-11-13;6
66;Cockpit window;62011-0135;Rotating table plus camera;Good;true;true;true;;2024-07-25;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;false;2;2024-11-28;7;2025-04-30;
67;Fuselage panel;0536-4301;Rotating table plus camera;Almost perfect;true;true;true;surface finish inspected;2024-11-25;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;3;2025-02-02;10;2025-03-12;
68;Engine cover;54868-5693;Rotating table plus camera;Good;true;false;true;material composition checked;2024-11-04;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;1;2024-10-20;6;2025-03-03;
69;Aileron;64616-095;Camera only;Average;false;false;true;surface finish inspected;2024-06-17;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;false;3;2024-07-29;6;2025-01-26;
70;Landing gear;36987-2742;Camera only;Perfect;false;true;false;packaging condition assessed;2024-06-19;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;2;2024-06-16;9;2024-07-17;
71;Cockpit window;43353-872;Big robot arm;Really bad;true;false;true;;2025-02-09;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;3;2024-06-12;8;2025-03-15;
72;Fuselage panel;14362-0111;Gantry system;Perfect;false;true;true;weight recorded;2024-07-21;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;3;2025-04-25;7;2025-02-19;
73;Landing gear;49349-350;Rotating table plus camera;Not Good;true;false;true;;2024-07-27;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;2;2024-08-07;7;2024-06-29;
74;Flap;55714-2219;Camera only;Not Good;false;false;true;;2024-12-03;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;2;2024-08-07;5;2024-07-17;
75;Fuselage panel;76126-075;Rotating table plus camera;Almost perfect;true;false;true;surface finish inspected;2024-08-23;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;3;2024-09-18;10;2025-04-16;1
76;Flap;60512-9054;Big robot arm;Almost perfect;true;true;true;material composition checked;2024-12-17;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;1;2024-11-15;6;2024-10-16;
77;Rudder;37205-759;Complete inspection;Good;false;false;true;;2025-06-09;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;1;2025-05-29;8;2024-11-06;
78;Aileron;36800-458;Rotating table plus camera;Almost perfect;false;true;true;;2025-04-03;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;3;2024-07-11;10;2025-04-12;
79;Landing gear;0781-3245;Big robot arm;Almost perfect;false;true;false;;2025-03-31;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2024-09-14;7;2025-06-05;
80;Aileron;52904-455;Rotating table plus camera;Perfect;true;false;false;;2025-02-27;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;1;2024-12-19;5;2024-06-20;
81;Flap;68084-243;Rotating table plus camera;Average;true;true;true;;2024-10-27;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;3;2024-10-24;4;2024-07-21;9
82;Aileron;22431-200;Gantry system;Really bad;false;true;false;weight recorded;2024-07-25;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;3;2025-04-14;6;2024-09-09;
83;Aileron;0338-0004;Rotating table plus camera;Perfect;true;true;false;material composition checked;2025-05-15;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;2;2025-03-01;9;2024-07-07;
84;Engine cover;0472-0013;Camera only;Average;false;true;false;;2024-09-24;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;2;2024-07-05;7;2024-10-02;
85;Cockpit window;21695-110;Complete inspection;Almost perfect;true;true;false;dimensions measured;2025-04-09;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;3;2025-04-16;5;2025-06-03;1
86;Cockpit window;0603-3740;Complete inspection;Average;true;true;false;;2024-08-13;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;2;2024-09-18;5;2025-01-04;
87;Fuselage panel;11822-0126;Gantry system;Almost perfect;false;true;true;;2024-10-21;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;3;2025-05-21;5;2025-06-03;
88;Tail fin;0998-0204;Gantry system;Almost perfect;false;false;false;;2024-12-18;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;2;2025-01-26;5;2025-03-13;
89;Landing gear;42023-168;Rotating table plus camera;Really bad;true;true;true;color consistency verified;2024-09-24;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;false;2;2025-01-09;4;2024-07-17;
90;Cockpit window;0093-3045;Gantry system;Not Good;true;false;true;;2024-09-04;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2025-04-05;4;2024-06-26;
91;Elevator;0074-3020;Complete inspection;Perfect;true;true;true;;2024-12-22;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;3;2024-12-13;6;2024-07-29;
92;Fuselage panel;17630-2029;Gantry system;Destroyed;false;true;true;;2024-09-26;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;1;2025-04-16;6;2024-07-18;
93;Tail fin;0378-3350;Complete inspection;Really bad;false;false;false;packaging condition assessed;2025-04-25;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;2;2025-04-23;10;2024-06-26;
94;Wing A;48951-8022;Big robot arm;Really bad;true;false;true;dimensions measured;2024-10-08;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;3;2025-03-07;5;2025-02-15;
95;Rudder;39313-001;Camera only;Good;false;true;true;packaging condition assessed;2025-06-09;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;1;2025-02-04;9;2025-04-01;10
96;Wing A;36987-2369;Complete inspection;Really bad;false;true;false;;2024-11-24;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;3;2025-02-03;10;2024-12-12;
97;Flap;36987-2112;Big robot arm;Good;false;true;true;weight recorded;2025-04-15;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;2;2024-07-14;5;2024-08-21;
98;Landing gear;58468-0100;Complete inspection;Good;false;true;false;;2024-10-14;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;1;2025-01-06;10;2025-02-06;
99;Elevator;50383-810;Gantry system;Really bad;true;true;true;;2025-02-27;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;false;1;2024-08-25;10;2024-06-12;
100;Rudder;31722-328;Rotating table plus camera;Destroyed;true;false;false;dimensions measured;2024-09-24;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2024-07-13;6;2024-12-29;
101;Aileron;0781-3317;Rotating table plus camera;Really bad;true;true;false;;2025-02-15;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;2;2024-12-07;6;2024-07-29;8
102;Tail fin;65862-211;Camera only;Really bad;true;true;false;;2025-02-12;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;1;2024-06-19;5;2024-06-24;
103;Wing A;61957-0115;Complete inspection;Perfect;true;true;true;weight recorded;2025-03-28;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;true;3;2025-04-18;5;2024-06-19;
104;Rudder;63029-850;Complete inspection;Not Good;true;true;true;material composition checked;2024-09-30;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;2;2024-07-13;6;2025-05-22;1
105;Wing A;49348-905;Complete inspection;Almost perfect;true;true;false;packaging condition assessed;2024-06-11;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;1;2024-09-06;9;2024-11-08;
106;Aileron;60505-0265;Rotating table plus camera;Perfect;true;true;true;;2025-04-30;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;3;2025-01-11;6;2025-06-04;
107;Cockpit window;51270-113;Camera only;Perfect;false;false;false;;2025-06-03;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;2;2025-04-11;7;2024-11-12;
108;Rudder;36987-1207;Camera only;Perfect;true;false;true;material composition checked;2025-02-08;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;false;2;2024-09-24;9;2024-07-06;
109;Landing gear;0378-0464;Gantry system;Average;true;true;true;;2025-05-30;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;3;2024-10-05;6;2024-09-27;
110;Landing gear;42291-162;Rotating table plus camera;Almost perfect;false;true;true;surface finish inspected;2024-08-14;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;1;2024-11-20;8;2024-09-08;
111;Wing A;63868-486;Complete inspection;Good;false;false;false;;2024-11-02;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;2;2024-11-19;8;2024-09-05;
112;Tail fin;61649-001;Big robot arm;Not Good;true;false;true;;2025-03-31;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;2;2024-09-19;5;2024-12-24;
113;Rudder;42236-002;Complete inspection;Not Good;false;true;true;;2025-03-15;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;3;2024-09-21;4;2025-01-14;
114;Rudder;43857-0088;Gantry system;Not Good;true;true;true;;2025-05-16;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;2;2025-01-29;5;2025-03-31;4
115;Rudder;64220-421;Camera only;Average;false;false;false;color consistency verified;2025-01-26;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;2;2025-02-06;7;2024-11-06;
116;Flap;51991-650;Camera only;Not Good;false;true;false;dimensions measured;2024-10-26;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;3;2025-03-06;4;2025-04-05;
117;Engine cover;53877-008;Rotating table plus camera;Perfect;false;false;false;;2025-05-31;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;2;2025-03-17;8;2025-02-24;7
118;Fuselage panel;51079-998;Complete inspection;Almost perfect;true;true;false;;2024-08-07;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;2;2024-07-22;6;2025-03-07;9
119;Rudder;86227-000;Rotating table plus camera;Not Good;false;false;false;color consistency verified;2024-11-19;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2025-06-07;4;2025-04-09;
120;Landing gear;42507-328;Rotating table plus camera;Really bad;true;false;false;surface finish inspected;2024-06-12;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;2;2025-02-20;6;2025-04-01;
121;Rudder;15304-4182;Big robot arm;Perfect;false;false;false;;2024-10-17;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;false;3;2024-07-12;8;2025-03-16;
122;Landing gear;65573-001;Rotating table plus camera;Almost perfect;false;false;true;dimensions measured;2025-01-08;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;1;2025-01-03;6;2024-10-27;
123;Rudder;33261-074;Camera only;Average;false;true;false;weight recorded;2025-06-06;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;1;2025-05-01;7;2024-11-09;
124;Landing gear;63629-3359;Gantry system;Perfect;false;false;true;;2024-08-17;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;3;2025-02-22;8;2025-05-02;
125;Rudder;55154-2429;Complete inspection;Good;false;true;true;;2024-07-24;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;false;3;2024-09-14;10;2024-07-20;
126;Fuselage panel;42403-010;Big robot arm;Perfect;false;true;true;weight recorded;2024-09-18;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;2;2025-04-17;7;2025-02-09;
127;Aileron;66116-390;Camera only;Good;false;true;false;;2024-06-12;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;3;2025-01-07;6;2024-07-09;
128;Flap;0065-0741;Big robot arm;Really bad;true;false;true;packaging condition assessed;2025-03-08;ftp://inspection-server/aircraft/B737/landing_gear/LG002_20240314/scans/;true;1;2024-12-28;8;2025-03-27;
129;Engine cover;55154-4791;Gantry system;Perfect;false;false;false;weight recorded;2025-03-31;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;2;2024-10-04;9;2024-06-16;3
130;Aileron;0615-1325;Big robot arm;Destroyed;false;false;false;weight recorded;2025-02-23;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2024-08-25;6;2025-06-05;
131;Engine cover;50114-1072;Gantry system;Not Good;false;false;true;dimensions measured;2024-10-19;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;1;2024-12-31;9;2025-04-01;
132;Wing A;49349-510;Rotating table plus camera;Average;false;true;true;weight recorded;2024-09-30;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;3;2025-05-22;8;2024-10-03;
133;Aileron;49288-0565;Camera only;Really bad;false;true;true;weight recorded;2024-12-31;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;true;2;2025-05-18;7;2025-04-10;
134;Rudder;61245-154;Rotating table plus camera;Destroyed;false;true;true;surface finish inspected;2025-01-17;ftp://inspection-server/aircraft/A350/fuselage/FS004_20240312/inspection/;false;1;2024-09-13;8;2024-06-16;
135;Fuselage panel;44738-6001;Camera only;Good;false;true;true;surface finish inspected;2024-07-15;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;3;2024-11-26;7;2024-08-31;
136;Rudder;62802-106;Rotating table plus camera;Average;true;false;false;;2025-01-17;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;3;2025-04-03;6;2025-05-06;
137;Rudder;13537-374;Big robot arm;Perfect;true;true;false;;2025-01-29;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;false;1;2025-03-11;6;2024-07-22;3
138;Elevator;76029-001;Rotating table plus camera;Average;true;false;false;;2024-12-31;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;2;2025-01-08;7;2024-09-07;
139;Engine cover;65133-110;Complete inspection;Not Good;false;true;false;dimensions measured;2025-02-02;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;false;1;2024-10-08;4;2024-07-20;10
140;Rudder;49825-112;Big robot arm;Average;true;false;true;packaging condition assessed;2025-03-03;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;3;2025-03-31;4;2024-09-09;
