id_inspection;name_piece;ref_piece;name_program;state;dents;corrosions;scratches;details;inspection_date;inspection_path;inspection_status;user_validation;validation_date;creation_date;user_creation;modification_date;user_modification;deleted
11;Flap;35356-934;Camera only;Not good;false;true;true;;2024-09-10;ftp://inspection-server/aircraft/A380/Flap/35356-934/2024-09-10;PENDING;;;2024-09-10 10:29:59;4;;;false
12;Elevator;55319-974;Camera only;Average;false;true;false;packaging condition assessed;2025-05-17;ftp://inspection-server/aircraft/Elevator/55319-974/2025-05-17;VALIDATED;1;2025-05-23 12:01:42;2025-05-17 06:11:13;4;2025-05-23 12:01:42;1;false
13;Fuselage panel;41250-477;Complete inspection;Really bad;true;false;true;;2024-08-24;ftp://inspection-server/aircraft/A320neo/Fuselage panel/41250-477/2024-08-24;PENDING;;;2024-08-24 20:43:04;6;;;false
14;Rudder;11584-1100;Camera only;Perfect;false;false;false;;2024-12-07;ftp://inspection-server/aircraft/A380/Rudder/11584-1100/2024-12-07;VALIDATED;3;2024-12-12 20:42:59;2024-12-07 11:15:52;10;2024-12-12 20:42:59;3;false
15;Flap;64778-0396;Complete inspection;Not good;false;true;false;color consistency verified;2024-06-29;ftp://inspection-server/aircraft/A380/Flap/64778-0396/2024-06-29;VALIDATED;1;2024-07-01 01:28:24;2024-06-29 11:58:14;4;2024-07-01 01:28:24;1;false
16;Landing gear;44911-0066;Gantry system;Not good;true;true;true;material composition checked;2025-01-22;ftp://inspection-server/aircraft/A320neo/Landing gear/44911-0066/2025-01-22;VALIDATED;3;2025-01-26 21:04:16;2025-01-22 16:15:02;6;2025-01-26 21:04:16;3;false
17;Aileron;55301-616;Camera only;Really bad;false;true;true;;2024-06-26;ftp://inspection-server/aircraft/B777/Aileron/55301-616/2024-06-26;PENDING;;;2024-06-26 00:59:11;6;;;false
18;Cockpit window;54868-4191;Rotating table plus camera;Average;true;true;false;;2024-12-06;ftp://inspection-server/aircraft/A320neo/Cockpit window/54868-4191/2024-12-06;VALIDATED;2;2024-12-13 05:36:48;2024-12-06 14:47:17;4;2024-12-13 05:36:48;2;false
19;Flap;0378-3634;Gantry system;Not good;false;false;true;;2025-05-27;ftp://inspection-server/aircraft/B747/Flap/0378-3634/2025-05-27;PENDING;;;2025-05-27 08:45:19;7;;;false
20;Landing gear;37808-400;Camera only;Not good;true;true;true;packaging condition assessed;2025-05-07;ftp://inspection-server/aircraft/B787/Landing gear/37808-400/2025-05-07;VALIDATED;1;2025-05-14 17:35:28;2025-05-07 20:15:45;6;2025-05-14 17:35:28;1;false
21;Wing A;49035-274;Rotating table plus camera;Not good;false;true;true;;2024-11-23;ftp://inspection-server/aircraft/B777/Wing A/49035-274/2024-11-23;VALIDATED;3;2024-11-30 09:33:48;2024-11-23 22:21:12;5;2024-11-30 09:33:48;3;false
22;Engine cover;59779-257;Rotating table plus camera;Average;true;true;false;;2025-01-30;ftp://inspection-server/aircraft/A350/Engine cover/59779-257/2025-01-30;VALIDATED;2;2025-02-03 07:29:51;2025-01-30 15:34:04;10;2025-02-03 07:29:51;2;false
23;Wing A;51815-302;Big robot arm;Average;false;true;false;packaging condition assessed;2025-02-05;ftp://inspection-server/aircraft/Wing A/51815-302/2025-02-05;PENDING;;;2025-02-05 02:18:04;5;;;false
24;Tail fin;41250-305;Gantry system;Not good;false;false;true;weight recorded;2025-03-31;ftp://inspection-server/aircraft/B787/Tail fin/41250-305/2025-03-31;VALIDATED;3;2025-04-04 22:06:50;2025-03-31 14:18:13;4;2025-04-04 22:06:50;3;false
25;Flap;36987-2920;Camera only;Really bad;true;false;true;;2025-04-09;ftp://inspection-server/aircraft/A350/Flap/36987-2920/2025-04-09;VALIDATED;1;2025-04-13 17:11:35;2025-04-09 05:29:57;6;2025-04-13 17:11:35;1;false
26;Landing gear;36987-2404;Rotating table plus camera;Good;false;true;false;weight recorded;2024-12-25;ftp://inspection-server/aircraft/A380/Landing gear/36987-2404/2024-12-25;VALIDATED;1;2024-12-28 05:59:49;2024-12-25 19:56:36;9;2024-12-28 05:59:49;1;false
27;Fuselage panel;36800-198;Gantry system;Average;false;true;false;;2024-06-21;ftp://inspection-server/aircraft/A320neo/Fuselage panel/36800-198/2024-06-21;PENDING;;;2024-06-21 01:09:55;8;;;false
28;Cockpit window;49580-0383;Camera only;Good;false;false;true;;2025-01-08;ftp://inspection-server/aircraft/B747/Cockpit window/49580-0383/2025-01-08;PENDING;;;2025-01-08 12:05:39;7;;;false
29;Aileron;67457-456;Rotating table plus camera;Really bad;false;true;true;;2025-04-03;ftp://inspection-server/aircraft/B737/Aileron/67457-456/2025-04-03;VALIDATED;1;2025-04-08 14:56:38;2025-04-03 13:48:46;7;2025-04-08 14:56:38;1;false
30;Rudder;47584-002;Gantry system;Average;true;false;false;weight recorded;2025-05-30;ftp://inspection-server/aircraft/B747/Rudder/47584-002/2025-05-30;VALIDATED;1;2025-06-02 13:32:47;2025-05-30 13:49:03;10;2025-06-02 13:32:47;1;false
31;Engine cover;68405-680;Rotating table plus camera;Not good;true;true;false;;2024-08-25;ftp://inspection-server/aircraft/B747/Engine cover/68405-680/2024-08-25;PENDING;;;2024-08-25 02:38:50;6;;;false
32;Cockpit window;55560-0102;Gantry system;Average;true;true;false;;2024-12-20;ftp://inspection-server/aircraft/B787/Cockpit window/55560-0102/2024-12-20;VALIDATED;1;2024-12-27 03:54:10;2024-12-20 06:49:37;6;2024-12-27 03:54:10;1;false
33;Engine cover;36800-124;Big robot arm;Not good;true;false;true;weight recorded;2024-08-31;ftp://inspection-server/aircraft/B737/Engine cover/36800-124/2024-08-31;VALIDATED;1;2024-09-02 13:51:32;2024-08-31 00:09:22;5;2024-09-02 13:51:32;1;false
34;Elevator;76378-017;Complete inspection;Not good;true;true;false;dimensions measured;2025-01-25;ftp://inspection-server/aircraft/Elevator/76378-017/2025-01-25;VALIDATED;1;2025-01-27 11:05:16;2025-01-25 06:40:45;9;2025-01-27 11:05:16;1;false
35;Rudder;55319-141;Rotating table plus camera;Good;false;true;false;material composition checked;2024-12-05;ftp://inspection-server/aircraft/B787/Rudder/55319-141/2024-12-05;VALIDATED;1;2024-12-05 11:50:28;2024-12-05 10:13:59;7;2024-12-05 11:50:28;1;false
36;Elevator;48951-1188;Rotating table plus camera;Really bad;true;true;false;;2025-02-17;ftp://inspection-server/aircraft/A380/Elevator/48951-1188/2025-02-17;VALIDATED;1;2025-02-19 04:11:26;2025-02-17 00:33:23;9;2025-02-19 04:11:26;1;false
37;Landing gear;11023-003;Gantry system;Not good;true;true;false;weight recorded;2024-09-07;ftp://inspection-server/aircraft/B747/Landing gear/11023-003/2024-09-07;VALIDATED;2;2024-09-13 13:17:56;2024-09-07 20:47:02;10;2024-09-13 13:17:56;2;false
38;Flap;49288-0860;Complete inspection;Good;true;false;false;;2025-02-12;ftp://inspection-server/aircraft/A380/Flap/49288-0860/2025-02-12;VALIDATED;1;2025-02-18 05:57:09;2025-02-12 19:44:38;5;2025-02-18 05:57:09;1;false
39;Fuselage panel;63629-4642;Complete inspection;Really bad;true;false;true;;2024-07-18;ftp://inspection-server/aircraft/B737/Fuselage panel/63629-4642/2024-07-18;VALIDATED;3;2024-07-22 19:33:04;2024-07-18 13:02:40;9;2024-07-22 19:33:04;3;false
40;Engine cover;68788-9727;Gantry system;Good;false;false;false;dimensions measured;2025-04-09;ftp://inspection-server/aircraft/A350/Engine cover/68788-9727/2025-04-09;PENDING;;;2025-04-09 10:47:39;4;;;false
41;Wing A;37205-754;Complete inspection;Really bad;true;false;true;;2025-03-27;ftp://inspection-server/aircraft/B787/Wing A/37205-754/2025-03-27;REJECTED;;;2025-03-27 13:36:26;4;;;false
42;Aileron;49999-106;Complete inspection;Average;true;false;false;;2025-03-23;ftp://inspection-server/aircraft/B787/Aileron/49999-106/2025-03-23;PENDING;;;2025-03-23 19:59:44;10;;;false
43;Flap;41163-226;Complete inspection;Good;false;false;false;;2024-08-27;ftp://inspection-server/aircraft/B737/Flap/41163-226/2024-08-27;PENDING;;;2024-08-27 18:04:30;10;;;false
44;Flap;0093-7365;Big robot arm;Good;false;true;false;surface finish inspected;2024-10-31;ftp://inspection-server/aircraft/A380/Flap/0093-7365/2024-10-31;PENDING;;;2024-10-31 18:29:32;8;;;false
45;Fuselage panel;59970-050;Rotating table plus camera;Not good;true;true;true;material composition checked;2024-10-31;ftp://inspection-server/aircraft/A380/Fuselage panel/59970-050/2024-10-31;VALIDATED;3;2024-11-01 09:07:26;2024-10-31 03:50:03;9;2024-11-01 09:07:26;3;false
46;Aileron;55910-321;Big robot arm;Really bad;true;true;false;dimensions measured;2025-01-19;ftp://inspection-server/aircraft/B737/Aileron/55910-321/2025-01-19;VALIDATED;3;2025-01-24 23:04:38;2025-01-19 13:01:04;10;2025-01-24 23:04:38;3;false
47;Fuselage panel;0185-0939;Big robot arm;Really bad;true;false;true;;2024-09-24;ftp://inspection-server/aircraft/A350/Fuselage panel/0185-0939/2024-09-24;VALIDATED;1;2024-09-24 17:18:33;2024-09-24 00:28:34;8;2024-09-24 17:18:33;1;false
48;Landing gear;0409-1890;Camera only;Almost perfect;false;false;false;weight recorded;2025-01-27;ftp://inspection-server/aircraft/A350/Landing gear/0409-1890/2025-01-27;VALIDATED;2;2025-02-02 10:49:01;2025-01-27 13:40:41;5;2025-02-02 10:49:01;2;false
49;Engine cover;64735-040;Gantry system;Really bad;false;true;true;packaging condition assessed;2024-06-11;ftp://inspection-server/aircraft/A350/Engine cover/64735-040/2024-06-11;PENDING;;;2024-06-11 14:53:34;10;;;false
50;Fuselage panel;41250-544;Camera only;Good;false;true;false;packaging condition assessed;2024-06-21;ftp://inspection-server/aircraft/A350/Fuselage panel/41250-544/2024-06-21;VALIDATED;2;2024-06-26 16:11:04;2024-06-21 04:34:27;6;2024-06-26 16:11:04;2;false
51;Rudder;0009-5400;Camera only;Not good;true;true;true;color consistency verified;2025-05-17;ftp://inspection-server/aircraft/B737/Rudder/0009-5400/2025-05-17;VALIDATED;3;2025-05-18 12:59:45;2025-05-17 10:16:02;4;2025-05-18 12:59:45;3;false
52;Fuselage panel;43406-0099;Gantry system;Really bad;true;false;true;;2025-03-10;ftp://inspection-server/aircraft/B747/Fuselage panel/43406-0099/2025-03-10;VALIDATED;3;2025-03-13 01:33:59;2025-03-10 06:39:18;5;2025-03-13 01:33:59;3;false
53;Wing A;49483-222;Gantry system;Destroyed;true;true;true;;2024-07-26;ftp://inspection-server/aircraft/A350/Wing A/49483-222/2024-07-26;PENDING;;;2024-07-26 12:02:05;5;;;false
54;Wing A;50988-273;Gantry system;Average;true;false;false;;2024-10-24;ftp://inspection-server/aircraft/B737/Wing A/50988-273/2024-10-24;VALIDATED;1;2024-10-26 08:16:58;2024-10-24 05:59:17;4;2024-10-26 08:16:58;1;false
55;Tail fin;51672-1260;Camera only;Average;true;false;true;;2025-02-24;ftp://inspection-server/aircraft/B777/Tail fin/51672-1260/2025-02-24;VALIDATED;1;2025-02-27 00:37:30;2025-02-24 17:07:35;6;2025-02-27 00:37:30;1;false
56;Rudder;55154-1817;Rotating table plus camera;Average;false;true;true;surface finish inspected;2024-07-07;ftp://inspection-server/aircraft/A350/Rudder/55154-1817/2024-07-07;REJECTED;;;2024-07-07 10:55:21;6;;;false
57;Fuselage panel;55154-5359;Camera only;Average;false;true;false;surface finish inspected;2024-07-13;ftp://inspection-server/aircraft/B777/Fuselage panel/55154-5359/2024-07-13;VALIDATED;3;2024-07-19 12:57:48;2024-07-13 12:01:57;9;2024-07-19 12:57:48;3;false
58;Wing A;15127-226;Complete inspection;Not good;false;false;true;dimensions measured;2025-01-21;ftp://inspection-server/aircraft/B787/Wing A/15127-226/2025-01-21;VALIDATED;1;2025-01-27 15:09:07;2025-01-21 17:38:46;4;2025-01-27 15:09:07;1;false
59;Wing A;0093-6137;Camera only;Good;true;false;false;material composition checked;2025-04-16;ftp://inspection-server/aircraft/A350/Wing A/0093-6137/2025-04-16;VALIDATED;3;2025-04-16 11:12:53;2025-04-16 07:04:01;7;2025-04-16 11:12:53;3;false
60;Cockpit window;36987-1519;Gantry system;Really bad;true;true;false;weight recorded;2025-02-10;ftp://inspection-server/aircraft/Cockpit window/36987-1519/2025-02-10;VALIDATED;2;2025-02-13 10:48:45;2025-02-10 05:45:31;10;2025-02-13 10:48:45;2;false
61;Elevator;11822-3670;Camera only;Really bad;true;false;true;;2024-11-18;ftp://inspection-server/aircraft/B747/Elevator/11822-3670/2024-11-18;VALIDATED;3;2024-11-21 06:09:56;2024-11-18 18:51:50;9;2024-11-21 06:09:56;3;false
62;Rudder;50563-110;Complete inspection;Average;false;false;true;;2024-09-07;ftp://inspection-server/aircraft/Rudder/50563-110/2024-09-07;PENDING;;;2024-09-07 14:10:29;5;;;false
63;Flap;53808-0375;Rotating table plus camera;Good;false;false;false;material composition checked;2024-08-24;ftp://inspection-server/aircraft/Flap/53808-0375/2024-08-24;VALIDATED;3;2024-08-30 12:27:10;2024-08-24 16:25:36;4;2024-08-30 12:27:10;3;false
64;Flap;0113-0335;Complete inspection;Average;false;false;true;;2025-02-13;ftp://inspection-server/aircraft/A350/Flap/0113-0335/2025-02-13;PENDING;;;2025-02-13 15:32:07;4;;;false
65;Rudder;55312-419;Gantry system;Perfect;false;false;false;material composition checked;2024-08-31;ftp://inspection-server/aircraft/A320neo/Rudder/55312-419/2024-08-31;PENDING;;;2024-08-31 05:08:16;7;;;false
66;Cockpit window;62011-0135;Rotating table plus camera;Destroyed;true;true;true;;2024-07-25;ftp://inspection-server/aircraft/B737/Cockpit window/62011-0135/2024-07-25;PENDING;;;2024-07-25 02:19:15;7;;;false
67;Fuselage panel;0536-4301;Rotating table plus camera;Destroyed;true;true;true;surface finish inspected;2024-11-25;ftp://inspection-server/aircraft/A350/Fuselage panel/0536-4301/2024-11-25;VALIDATED;3;2024-12-02 08:30:15;2024-11-25 23:46:56;10;2024-12-02 08:30:15;3;false
68;Engine cover;54868-5693;Rotating table plus camera;Really bad;true;false;true;material composition checked;2024-11-04;ftp://inspection-server/aircraft/B737/Engine cover/54868-5693/2024-11-04;VALIDATED;2;2024-11-06 00:21:42;2024-11-04 02:27:31;6;2024-11-06 00:21:42;2;false
69;Aileron;64616-095;Camera only;Average;false;false;true;surface finish inspected;2024-06-17;ftp://inspection-server/aircraft/Aileron/64616-095/2024-06-17;VALIDATED;1;2024-06-18 19:18:04;2024-06-17 10:36:02;6;2024-06-18 19:18:04;1;false
70;Landing gear;36987-2742;Camera only;Average;false;true;false;packaging condition assessed;2024-06-19;ftp://inspection-server/aircraft/A380/Landing gear/36987-2742/2024-06-19;VALIDATED;1;2024-06-24 12:45:21;2024-06-19 14:52:02;9;2024-06-24 12:45:21;1;false
71;Cockpit window;43353-872;Big robot arm;Average;true;false;true;;2025-02-09;ftp://inspection-server/aircraft/B787/Cockpit window/43353-872/2025-02-09;PENDING;;;2025-02-09 23:34:06;8;;;false
72;Fuselage panel;14362-0111;Gantry system;Not good;false;true;true;weight recorded;2024-07-21;ftp://inspection-server/aircraft/B737/Fuselage panel/14362-0111/2024-07-21;PENDING;;;2024-07-21 13:54:07;7;;;false
73;Landing gear;49349-350;Rotating table plus camera;Not good;true;false;true;;2024-07-27;ftp://inspection-server/aircraft/A350/Landing gear/49349-350/2024-07-27;VALIDATED;2;2024-07-28 22:07:45;2024-07-27 12:03:58;7;2024-07-28 22:07:45;2;false
74;Flap;55714-2219;Camera only;Not good;false;false;true;;2024-12-03;ftp://inspection-server/aircraft/Flap/55714-2219/2024-12-03;VALIDATED;1;2024-12-09 09:39:51;2024-12-03 06:53:52;5;2024-12-09 09:39:51;1;false
75;Fuselage panel;76126-075;Rotating table plus camera;Not good;true;false;true;surface finish inspected;2024-08-23;ftp://inspection-server/aircraft/A380/Fuselage panel/76126-075/2024-08-23;VALIDATED;2;2024-08-25 11:06:17;2024-08-23 12:56:10;10;2024-08-25 11:06:17;2;false
76;Flap;60512-9054;Big robot arm;Really bad;true;true;true;material composition checked;2024-12-17;ftp://inspection-server/aircraft/B777/Flap/60512-9054/2024-12-17;VALIDATED;3;2024-12-21 20:06:44;2024-12-17 01:04:30;6;2024-12-21 20:06:44;3;false
77;Rudder;37205-759;Complete inspection;Average;false;false;true;;2025-06-09;ftp://inspection-server/aircraft/B747/Rudder/37205-759/2025-06-09;VALIDATED;1;2025-06-12 04:40:01;2025-06-09 18:54:49;8;2025-06-12 04:40:01;1;false
78;Aileron;36800-458;Rotating table plus camera;Really bad;false;true;true;;2025-04-03;ftp://inspection-server/aircraft/B777/Aileron/36800-458/2025-04-03;VALIDATED;2;2025-04-06 15:01:30;2025-04-03 16:20:31;10;2025-04-06 15:01:30;2;false
79;Landing gear;0781-3245;Big robot arm;Good;false;true;false;;2025-03-31;ftp://inspection-server/aircraft/A380/Landing gear/0781-3245/2025-03-31;VALIDATED;1;2025-04-04 00:45:02;2025-03-31 04:25:59;7;2025-04-04 00:45:02;1;false
80;Aileron;52904-455;Rotating table plus camera;Good;true;false;false;;2025-02-27;ftp://inspection-server/aircraft/B777/Aileron/52904-455/2025-02-27;VALIDATED;2;2025-03-04 14:54:15;2025-02-27 01:12:57;5;2025-03-04 14:54:15;2;false
81;Flap;68084-243;Rotating table plus camera;Destroyed;true;true;true;;2024-10-27;ftp://inspection-server/aircraft/A320neo/Flap/68084-243/2024-10-27;VALIDATED;2;2024-11-02 16:36:57;2024-10-27 18:56:12;4;2024-11-02 16:36:57;2;false
82;Aileron;22431-200;Gantry system;Good;false;true;false;weight recorded;2024-07-25;ftp://inspection-server/aircraft/Aileron/22431-200/2024-07-25;PENDING;;;2024-07-25 19:10:51;6;;;false
83;Aileron;0338-0004;Rotating table plus camera;Really bad;true;true;false;material composition checked;2025-05-15;ftp://inspection-server/aircraft/A380/Aileron/0338-0004/2025-05-15;VALIDATED;2;2025-05-16 17:25:23;2025-05-15 09:56:28;9;2025-05-16 17:25:23;2;false
84;Engine cover;0472-0013;Camera only;Average;false;true;false;;2024-09-24;ftp://inspection-server/aircraft/B777/Engine cover/0472-0013/2024-09-24;VALIDATED;3;2024-09-30 16:22:32;2024-09-24 02:51:29;7;2024-09-30 16:22:32;3;false
85;Cockpit window;21695-110;Complete inspection;Not good;true;true;false;dimensions measured;2025-04-09;ftp://inspection-server/aircraft/A350/Cockpit window/21695-110/2025-04-09;PENDING;;;2025-04-09 03:26:15;5;;;false
86;Cockpit window;0603-3740;Complete inspection;Really bad;true;true;false;;2024-08-13;ftp://inspection-server/aircraft/A320neo/Cockpit window/0603-3740/2024-08-13;VALIDATED;2;2024-08-16 12:15:55;2024-08-13 14:33:03;5;2024-08-16 12:15:55;2;false
87;Fuselage panel;11822-0126;Gantry system;Really bad;false;true;true;;2024-10-21;ftp://inspection-server/aircraft/A350/Fuselage panel/11822-0126/2024-10-21;VALIDATED;1;2024-10-27 22:15:13;2024-10-21 14:59:03;5;2024-10-27 22:15:13;1;false
88;Tail fin;0998-0204;Gantry system;Almost perfect;false;false;false;;2024-12-18;ftp://inspection-server/aircraft/A350/Tail fin/0998-0204/2024-12-18;VALIDATED;2;2024-12-23 18:08:45;2024-12-18 00:45:21;5;2024-12-23 18:08:45;2;false
89;Landing gear;42023-168;Rotating table plus camera;Really bad;true;true;true;color consistency verified;2024-09-24;ftp://inspection-server/aircraft/B737/Landing gear/42023-168/2024-09-24;PENDING;;;2024-09-24 22:21:16;4;;;false
90;Cockpit window;0093-3045;Gantry system;Really bad;true;false;true;;2024-09-04;ftp://inspection-server/aircraft/A380/Cockpit window/0093-3045/2024-09-04;VALIDATED;3;2024-09-06 14:11:32;2024-09-04 04:55:48;4;2024-09-06 14:11:32;3;false
91;Elevator;0074-3020;Complete inspection;Really bad;true;true;true;;2024-12-22;ftp://inspection-server/aircraft/A350/Elevator/0074-3020/2024-12-22;VALIDATED;1;2024-12-28 12:36:09;2024-12-22 20:56:31;6;2024-12-28 12:36:09;1;false
92;Fuselage panel;17630-2029;Gantry system;Average;false;true;true;;2024-09-26;ftp://inspection-server/aircraft/Fuselage panel/17630-2029/2024-09-26;PENDING;;;2024-09-26 20:52:21;6;;;false
93;Tail fin;0378-3350;Complete inspection;Perfect;false;false;false;packaging condition assessed;2025-04-25;ftp://inspection-server/aircraft/B747/Tail fin/0378-3350/2025-04-25;PENDING;;;2025-04-25 05:40:48;10;;;false
94;Wing A;48951-8022;Big robot arm;Really bad;true;false;true;dimensions measured;2024-10-08;ftp://inspection-server/aircraft/B737/Wing A/48951-8022/2024-10-08;VALIDATED;1;2024-10-15 01:33:17;2024-10-08 06:35:52;5;2024-10-15 01:33:17;1;false
95;Rudder;39313-001;Camera only;Really bad;false;true;true;packaging condition assessed;2025-06-09;ftp://inspection-server/aircraft/B787/Rudder/39313-001/2025-06-09;PENDING;;;2025-06-09 07:47:07;9;;;false
96;Wing A;36987-2369;Complete inspection;Average;false;true;false;;2024-11-24;ftp://inspection-server/aircraft/Wing A/36987-2369/2024-11-24;REJECTED;;;2024-11-24 09:20:58;10;;;false
97;Flap;36987-2112;Big robot arm;Really bad;false;true;true;weight recorded;2025-04-15;ftp://inspection-server/aircraft/A320neo/Flap/36987-2112/2025-04-15;VALIDATED;2;2025-04-21 19:32:53;2025-04-15 12:29:13;5;2025-04-21 19:32:53;2;false
98;Landing gear;58468-0100;Complete inspection;Not good;false;true;false;;2024-10-14;ftp://inspection-server/aircraft/A350/Landing gear/58468-0100/2024-10-14;VALIDATED;2;2024-10-16 11:49:26;2024-10-14 08:03:07;10;2024-10-16 11:49:26;2;false
99;Elevator;50383-810;Gantry system;Not good;true;true;true;;2025-02-27;ftp://inspection-server/aircraft/Elevator/50383-810/2025-02-27;VALIDATED;2;2025-02-28 09:01:31;2025-02-27 01:07:44;10;2025-02-28 09:01:31;2;false
100;Rudder;31722-328;Rotating table plus camera;Good;true;false;false;dimensions measured;2024-09-24;ftp://inspection-server/aircraft/A380/Rudder/31722-328/2024-09-24;VALIDATED;3;2024-09-27 22:02:22;2024-09-24 05:38:48;6;2024-09-27 22:02:22;3;false
101;Aileron;0781-3317;Rotating table plus camera;Not good;true;true;false;;2025-02-15;ftp://inspection-server/aircraft/A380/Aileron/0781-3317/2025-02-15;VALIDATED;1;2025-02-20 00:11:15;2025-02-15 16:14:31;6;2025-02-20 00:11:15;1;false
102;Tail fin;65862-211;Camera only;Average;true;true;false;;2025-02-12;ftp://inspection-server/aircraft/A380/Tail fin/65862-211/2025-02-12;PENDING;;;2025-02-12 02:48:55;5;;;false
103;Wing A;61957-0115;Complete inspection;Destroyed;true;true;true;weight recorded;2025-03-28;ftp://inspection-server/aircraft/B787/Wing A/61957-0115/2025-03-28;PENDING;;;2025-03-28 10:15:15;5;;;false
104;Rudder;63029-850;Complete inspection;Really bad;true;true;true;material composition checked;2024-09-30;ftp://inspection-server/aircraft/A380/Rudder/63029-850/2024-09-30;VALIDATED;1;2024-10-06 20:32:37;2024-09-30 22:45:47;6;2024-10-06 20:32:37;1;false
105;Wing A;49348-905;Complete inspection;Average;true;true;false;packaging condition assessed;2024-06-11;ftp://inspection-server/aircraft/A380/Wing A/49348-905/2024-06-11;PENDING;;;2024-06-11 07:29:34;9;;;false
106;Aileron;60505-0265;Rotating table plus camera;Really bad;true;true;true;;2025-04-30;ftp://inspection-server/aircraft/B777/Aileron/60505-0265/2025-04-30;VALIDATED;3;2025-05-03 18:19:23;2025-04-30 17:05:19;6;2025-05-03 18:19:23;3;false
107;Cockpit window;51270-113;Camera only;Perfect;false;false;false;;2025-06-03;ftp://inspection-server/aircraft/A320neo/Cockpit window/51270-113/2025-06-03;VALIDATED;1;2025-06-03 22:28:42;2025-06-03 05:33:26;7;2025-06-03 22:28:42;1;false
108;Rudder;36987-1207;Camera only;Average;true;false;true;material composition checked;2025-02-08;ftp://inspection-server/aircraft/Rudder/36987-1207/2025-02-08;VALIDATED;1;2025-02-10 13:50:42;2025-02-08 12:42:14;9;2025-02-10 13:50:42;1;false
109;Landing gear;0378-0464;Gantry system;Really bad;true;true;true;;2025-05-30;ftp://inspection-server/aircraft/A320neo/Landing gear/0378-0464/2025-05-30;VALIDATED;2;2025-05-31 19:32:24;2025-05-30 15:47:40;6;2025-05-31 19:32:24;2;false
110;Landing gear;42291-162;Rotating table plus camera;Really bad;false;true;true;surface finish inspected;2024-08-14;ftp://inspection-server/aircraft/B787/Landing gear/42291-162/2024-08-14;VALIDATED;3;2024-08-17 10:55:00;2024-08-14 06:33:50;8;2024-08-17 10:55:00;3;false
111;Wing A;63868-486;Complete inspection;Perfect;false;false;false;;2024-11-02;ftp://inspection-server/aircraft/B787/Wing A/63868-486/2024-11-02;VALIDATED;2;2024-11-03 19:38:10;2024-11-02 15:47:01;8;2024-11-03 19:38:10;2;false
112;Tail fin;61649-001;Big robot arm;Really bad;true;false;true;;2025-03-31;ftp://inspection-server/aircraft/B777/Tail fin/61649-001/2025-03-31;VALIDATED;3;2025-04-07 01:26:00;2025-03-31 05:17:20;5;2025-04-07 01:26:00;3;false
113;Rudder;42236-002;Complete inspection;Not good;false;true;true;;2025-03-15;ftp://inspection-server/aircraft/B747/Rudder/42236-002/2025-03-15;PENDING;;;2025-03-15 04:43:00;4;;;false
