id_inspection;name_piece;ref_piece;name_program;state;dents;corrosions;scratches;details;inspection_date;inspection_path;inspection_validated;user_validation;creation_date;user_creation;modification_date;user_modification;deleted
15;Flap;64778-0396;Complete inspection;Good;FALSE;TRUE;FALSE;color consistency verified;2024-06-29;ftp://inspection-server/aircraft/A380/Flap/64778-0396/2024-06-29;TRUE;3;2024-06-29 06:32:40;4;2024-07-03 00:04:28;3;false
16;Landing gear;44911-0066;Gantry system;Really bad;TRUE;TRUE;TRUE;material composition checked;2025-01-22;ftp://inspection-server/aircraft/A320neo/Landing gear/44911-0066/2025-01-22;TRUE;2;2025-01-22 13:51:38;6;2025-01-26 13:01:35;2;false
17;Aileron;55301-616;Camera only;Really bad;FALSE;TRUE;TRUE;;2024-06-26;ftp://inspection-server/aircraft/B777/Aileron/55301-616/2024-06-26;FALSE;;2024-06-26 05:19:53;6;;;false
18;Cockpit window;54868-4191;Rotating table plus camera;Really bad;TRUE;TRUE;FALSE;;2024-12-06;ftp://inspection-server/aircraft/A320neo/Cockpit window/54868-4191/2024-12-06;TRUE;1;2024-12-06 17:11:18;4;2024-12-12 13:14:16;1;false
19;Flap;0378-3634;Gantry system;Average;FALSE;FALSE;TRUE;;2025-05-27;ftp://inspection-server/aircraft/B747/Flap/0378-3634/2025-05-27;TRUE;1;2025-05-27 18:52:46;7;2025-05-28 21:21:47;1;false
20;Landing gear;37808-400;Camera only;Destroyed;TRUE;TRUE;TRUE;packaging condition assessed;2025-05-07;ftp://inspection-server/aircraft/B787/Landing gear/37808-400/2025-05-07;TRUE;2;2025-05-07 06:01:03;6;2025-05-10 19:48:07;2;false
21;Wing A;49035-274;Rotating table plus camera;Average;FALSE;TRUE;TRUE;;2024-11-23;ftp://inspection-server/aircraft/B777/Wing A/49035-274/2024-11-23;TRUE;3;2024-11-23 08:21:11;5;2024-11-28 05:24:42;3;false
22;Engine cover;59779-257;Rotating table plus camera;Not good;TRUE;TRUE;FALSE;;2025-01-30;ftp://inspection-server/aircraft/A350/Engine cover/59779-257/2025-01-30;TRUE;3;2025-01-30 09:17:18;10;2025-02-05 21:55:51;3;false
23;Wing A;51815-302;Big robot arm;Not good;FALSE;TRUE;FALSE;packaging condition assessed;2025-02-05;ftp://inspection-server/aircraft/Wing A/51815-302/2025-02-05;TRUE;3;2025-02-05 16:47:30;5;2025-02-11 12:45:42;3;false
24;Tail fin;41250-305;Gantry system;Good;FALSE;FALSE;TRUE;weight recorded;2025-03-31;ftp://inspection-server/aircraft/B787/Tail fin/41250-305/2025-03-31;TRUE;3;2025-03-31 15:40:17;4;2025-04-03 18:56:08;3;false
25;Flap;36987-2920;Camera only;Average;TRUE;FALSE;TRUE;;2025-04-09;ftp://inspection-server/aircraft/A350/Flap/36987-2920/2025-04-09;TRUE;2;2025-04-09 09:25:48;6;2025-04-13 23:04:28;2;false
26;Landing gear;36987-2404;Rotating table plus camera;Good;FALSE;TRUE;FALSE;weight recorded;2024-12-25;ftp://inspection-server/aircraft/A380/Landing gear/36987-2404/2024-12-25;FALSE;;2024-12-25 07:06:28;9;;;false
27;Fuselage panel;36800-198;Gantry system;Average;FALSE;TRUE;FALSE;;2024-06-21;ftp://inspection-server/aircraft/A320neo/Fuselage panel/36800-198/2024-06-21;FALSE;;2024-06-21 09:53:04;8;;;false
28;Cockpit window;49580-0383;Camera only;Good;FALSE;FALSE;TRUE;;2025-01-08;ftp://inspection-server/aircraft/B747/Cockpit window/49580-0383/2025-01-08;TRUE;3;2025-01-08 03:32:59;7;2025-01-14 02:43:41;3;false
29;Aileron;67457-456;Rotating table plus camera;Not good;FALSE;TRUE;TRUE;;2025-04-03;ftp://inspection-server/aircraft/B737/Aileron/67457-456/2025-04-03;FALSE;;2025-04-03 08:36:15;7;;;false
30;Rudder;47584-002;Gantry system;Not good;TRUE;FALSE;FALSE;weight recorded;2025-05-30;ftp://inspection-server/aircraft/B747/Rudder/47584-002/2025-05-30;TRUE;2;2025-05-30 07:56:22;10;2025-06-01 04:47:02;2;false
31;Engine cover;68405-680;Rotating table plus camera;Average;TRUE;TRUE;FALSE;;2024-08-25;ftp://inspection-server/aircraft/B747/Engine cover/68405-680/2024-08-25;FALSE;;2024-08-25 03:27:43;6;;;false
32;Cockpit window;55560-0102;Gantry system;Not good;TRUE;TRUE;FALSE;;2024-12-20;ftp://inspection-server/aircraft/B787/Cockpit window/55560-0102/2024-12-20;TRUE;1;2024-12-20 17:53:04;6;2024-12-24 23:44:11;1;false
33;Engine cover;36800-124;Big robot arm;Really bad;TRUE;FALSE;TRUE;weight recorded;2024-08-31;ftp://inspection-server/aircraft/B737/Engine cover/36800-124/2024-08-31;TRUE;2;2024-08-31 08:16:37;5;2024-09-04 09:10:44;2;false
34;Elevator;76378-017;Complete inspection;Really bad;TRUE;TRUE;FALSE;dimensions measured;2025-01-25;ftp://inspection-server/aircraft/Elevator/76378-017/2025-01-25;TRUE;2;2025-01-25 18:11:25;9;2025-01-29 00:43:38;2;false
35;Rudder;55319-141;Rotating table plus camera;Average;FALSE;TRUE;FALSE;material composition checked;2024-12-05;ftp://inspection-server/aircraft/B787/Rudder/55319-141/2024-12-05;TRUE;1;2024-12-05 19:23:38;7;2024-12-08 04:15:13;1;false
36;Elevator;48951-1188;Rotating table plus camera;Not good;TRUE;TRUE;FALSE;;2025-02-17;ftp://inspection-server/aircraft/A380/Elevator/48951-1188/2025-02-17;TRUE;2;2025-02-17 22:08:39;9;2025-02-23 17:59:21;2;false
37;Landing gear;11023-003;Gantry system;Average;TRUE;TRUE;FALSE;weight recorded;2024-09-07;ftp://inspection-server/aircraft/B747/Landing gear/11023-003/2024-09-07;TRUE;1;2024-09-07 07:06:07;10;2024-09-10 18:07:20;1;false
38;Flap;49288-0860;Complete inspection;Not good;TRUE;FALSE;FALSE;;2025-02-12;ftp://inspection-server/aircraft/A380/Flap/49288-0860/2025-02-12;TRUE;1;2025-02-12 15:46:30;5;2025-02-12 22:30:19;1;false
39;Fuselage panel;63629-4642;Complete inspection;Average;TRUE;FALSE;TRUE;;2024-07-18;ftp://inspection-server/aircraft/B737/Fuselage panel/63629-4642/2024-07-18;TRUE;3;2024-07-18 19:47:56;9;2024-07-22 06:39:07;3;false
40;Engine cover;68788-9727;Gantry system;Perfect;FALSE;FALSE;FALSE;dimensions measured;2025-04-09;ftp://inspection-server/aircraft/A350/Engine cover/68788-9727/2025-04-09;TRUE;3;2025-04-09 03:02:05;4;2025-04-15 02:45:16;3;false
41;Wing A;37205-754;Complete inspection;Not good;TRUE;FALSE;TRUE;;2025-03-27;ftp://inspection-server/aircraft/B787/Wing A/37205-754/2025-03-27;TRUE;2;2025-03-27 20:49:09;4;2025-04-02 00:16:12;2;false
42;Aileron;49999-106;Complete inspection;Average;TRUE;FALSE;FALSE;;2025-03-23;ftp://inspection-server/aircraft/B787/Aileron/49999-106/2025-03-23;TRUE;1;2025-03-23 03:46:55;10;2025-03-23 07:13:51;1;false
43;Flap;41163-226;Complete inspection;Perfect;FALSE;FALSE;FALSE;;2024-08-27;ftp://inspection-server/aircraft/B737/Flap/41163-226/2024-08-27;FALSE;;2024-08-27 09:11:11;10;;;false
44;Flap;0093-7365;Big robot arm;Average;FALSE;TRUE;FALSE;surface finish inspected;2024-10-31;ftp://inspection-server/aircraft/A380/Flap/0093-7365/2024-10-31;TRUE;1;2024-10-31 16:57:40;8;2024-11-01 14:58:44;1;false
45;Fuselage panel;59970-050;Rotating table plus camera;Really bad;TRUE;TRUE;TRUE;material composition checked;2024-10-31;ftp://inspection-server/aircraft/A380/Fuselage panel/59970-050/2024-10-31;TRUE;3;2024-10-31 13:12:32;9;2024-10-31 16:24:12;3;false
46;Aileron;55910-321;Big robot arm;Really bad;TRUE;TRUE;FALSE;dimensions measured;2025-01-19;ftp://inspection-server/aircraft/B737/Aileron/55910-321/2025-01-19;TRUE;1;2025-01-19 15:46:54;10;2025-01-20 01:41:32;1;false
47;Fuselage panel;0185-0939;Big robot arm;Really bad;TRUE;FALSE;TRUE;;2024-09-24;ftp://inspection-server/aircraft/A350/Fuselage panel/0185-0939/2024-09-24;TRUE;2;2024-09-24 01:56:12;8;2024-09-27 05:22:52;2;false
48;Landing gear;0409-1890;Camera only;Perfect;FALSE;FALSE;FALSE;weight recorded;2025-01-27;ftp://inspection-server/aircraft/A350/Landing gear/0409-1890/2025-01-27;TRUE;3;2025-01-27 11:15:08;5;2025-01-29 13:48:40;3;false
49;Engine cover;64735-040;Gantry system;Average;FALSE;TRUE;TRUE;packaging condition assessed;2024-06-11;ftp://inspection-server/aircraft/A350/Engine cover/64735-040/2024-06-11;TRUE;2;2024-06-11 08:54:07;10;2024-06-12 03:02:49;2;false
50;Fuselage panel;41250-544;Camera only;Not good;FALSE;TRUE;FALSE;packaging condition assessed;2024-06-21;ftp://inspection-server/aircraft/A350/Fuselage panel/41250-544/2024-06-21;TRUE;2;2024-06-21 20:36:46;6;2024-06-24 23:26:04;2;false
51;Rudder;0009-5400;Camera only;Really bad;TRUE;TRUE;TRUE;color consistency verified;2025-05-17;ftp://inspection-server/aircraft/B737/Rudder/0009-5400/2025-05-17;FALSE;;2025-05-17 04:45:41;4;;;false
52;Fuselage panel;43406-0099;Gantry system;Really bad;TRUE;FALSE;TRUE;;2025-03-10;ftp://inspection-server/aircraft/B747/Fuselage panel/43406-0099/2025-03-10;TRUE;2;2025-03-10 12:02:08;5;2025-03-11 02:55:31;2;false
53;Wing A;49483-222;Gantry system;Not good;TRUE;TRUE;TRUE;;2024-07-26;ftp://inspection-server/aircraft/A350/Wing A/49483-222/2024-07-26;TRUE;1;2024-07-26 06:02:11;5;2024-08-01 08:47:24;1;false
54;Wing A;50988-273;Gantry system;Average;TRUE;FALSE;FALSE;;2024-10-24;ftp://inspection-server/aircraft/B737/Wing A/50988-273/2024-10-24;TRUE;3;2024-10-24 14:27:38;4;2024-10-29 03:52:09;3;false
55;Tail fin;51672-1260;Camera only;Average;TRUE;FALSE;TRUE;;2025-02-24;ftp://inspection-server/aircraft/B777/Tail fin/51672-1260/2025-02-24;TRUE;1;2025-02-24 11:54:34;6;2025-02-25 10:08:51;1;false
56;Rudder;55154-1817;Rotating table plus camera;Not good;FALSE;TRUE;TRUE;surface finish inspected;2024-07-07;ftp://inspection-server/aircraft/A350/Rudder/55154-1817/2024-07-07;FALSE;;2024-07-07 17:25:01;6;;;false
57;Fuselage panel;55154-5359;Camera only;Not good;FALSE;TRUE;FALSE;surface finish inspected;2024-07-13;ftp://inspection-server/aircraft/B777/Fuselage panel/55154-5359/2024-07-13;TRUE;1;2024-07-13 01:44:17;9;2024-07-19 13:22:32;1;false
58;Wing A;15127-226;Complete inspection;Not good;FALSE;FALSE;TRUE;dimensions measured;2025-01-21;ftp://inspection-server/aircraft/B787/Wing A/15127-226/2025-01-21;TRUE;2;2025-01-21 21:14:17;4;2025-01-24 18:59:17;2;false
59;Wing A;0093-6137;Camera only;Good;TRUE;FALSE;FALSE;material composition checked;2025-04-16;ftp://inspection-server/aircraft/A350/Wing A/0093-6137/2025-04-16;TRUE;2;2025-04-16 16:24:59;7;2025-04-20 00:04:16;2;false
60;Cockpit window;36987-1519;Gantry system;Really bad;TRUE;TRUE;FALSE;weight recorded;2025-02-10;ftp://inspection-server/aircraft/Cockpit window/36987-1519/2025-02-10;TRUE;1;2025-02-10 18:58:44;10;2025-02-15 09:46:27;1;false
61;Elevator;11822-3670;Camera only;Average;TRUE;FALSE;TRUE;;2024-11-18;ftp://inspection-server/aircraft/B747/Elevator/11822-3670/2024-11-18;TRUE;1;2024-11-18 01:37:13;9;2024-11-18 18:55:51;1;false
62;Rudder;50563-110;Complete inspection;Average;FALSE;FALSE;TRUE;;2024-09-07;ftp://inspection-server/aircraft/Rudder/50563-110/2024-09-07;TRUE;2;2024-09-07 08:18:46;5;2024-09-07 20:55:20;2;false
63;Flap;53808-0375;Rotating table plus camera;Good;FALSE;FALSE;FALSE;material composition checked;2024-08-24;ftp://inspection-server/aircraft/Flap/53808-0375/2024-08-24;TRUE;3;2024-08-24 06:12:15;4;2024-08-24 16:17:21;3;false
64;Flap;0113-0335;Complete inspection;Not good;FALSE;FALSE;TRUE;;2025-02-13;ftp://inspection-server/aircraft/A350/Flap/0113-0335/2025-02-13;FALSE;;2025-02-13 04:36:12;4;;;false
65;Rudder;55312-419;Gantry system;Almost perfect;FALSE;FALSE;FALSE;material composition checked;2024-08-31;ftp://inspection-server/aircraft/A320neo/Rudder/55312-419/2024-08-31;TRUE;1;2024-08-31 19:49:35;7;2024-09-02 07:29:50;1;false
66;Cockpit window;62011-0135;Rotating table plus camera;Not good;TRUE;TRUE;TRUE;;2024-07-25;ftp://inspection-server/aircraft/B737/Cockpit window/62011-0135/2024-07-25;TRUE;1;2024-07-25 06:32:46;7;2024-07-25 12:28:08;1;false
67;Fuselage panel;0536-4301;Rotating table plus camera;Not good;TRUE;TRUE;TRUE;surface finish inspected;2024-11-25;ftp://inspection-server/aircraft/A350/Fuselage panel/0536-4301/2024-11-25;TRUE;1;2024-11-25 10:22:22;10;2024-11-29 05:00:16;1;false
68;Engine cover;54868-5693;Rotating table plus camera;Not good;TRUE;FALSE;TRUE;material composition checked;2024-11-04;ftp://inspection-server/aircraft/B737/Engine cover/54868-5693/2024-11-04;TRUE;2;2024-11-04 19:08:20;6;2024-11-07 04:36:28;2;false
69;Aileron;64616-095;Camera only;Not good;FALSE;FALSE;TRUE;surface finish inspected;2024-06-17;ftp://inspection-server/aircraft/Aileron/64616-095/2024-06-17;TRUE;3;2024-06-17 15:26:04;6;2024-06-18 10:40:22;3;false
70;Landing gear;36987-2742;Camera only;Good;FALSE;TRUE;FALSE;packaging condition assessed;2024-06-19;ftp://inspection-server/aircraft/A380/Landing gear/36987-2742/2024-06-19;TRUE;2;2024-06-19 21:24:59;9;2024-06-23 12:38:29;2;false
71;Cockpit window;43353-872;Big robot arm;Average;TRUE;FALSE;TRUE;;2025-02-09;ftp://inspection-server/aircraft/B787/Cockpit window/43353-872/2025-02-09;TRUE;1;2025-02-09 15:32:56;8;2025-02-13 01:26:19;1;false
72;Fuselage panel;14362-0111;Gantry system;Really bad;FALSE;TRUE;TRUE;weight recorded;2024-07-21;ftp://inspection-server/aircraft/B737/Fuselage panel/14362-0111/2024-07-21;TRUE;1;2024-07-21 17:26:19;7;2024-07-26 17:03:46;1;false
73;Landing gear;49349-350;Rotating table plus camera;Not good;TRUE;FALSE;TRUE;;2024-07-27;ftp://inspection-server/aircraft/A350/Landing gear/49349-350/2024-07-27;TRUE;1;2024-07-27 07:47:47;7;2024-07-30 18:12:54;1;false
74;Flap;55714-2219;Camera only;Average;FALSE;FALSE;TRUE;;2024-12-03;ftp://inspection-server/aircraft/Flap/55714-2219/2024-12-03;TRUE;1;2024-12-03 21:16:43;5;2024-12-06 03:50:03;1;false
75;Fuselage panel;76126-075;Rotating table plus camera;Really bad;TRUE;FALSE;TRUE;surface finish inspected;2024-08-23;ftp://inspection-server/aircraft/A380/Fuselage panel/76126-075/2024-08-23;FALSE;;2024-08-23 01:13:42;10;;;false
76;Flap;60512-9054;Big robot arm;Really bad;TRUE;TRUE;TRUE;material composition checked;2024-12-17;ftp://inspection-server/aircraft/B777/Flap/60512-9054/2024-12-17;TRUE;3;2024-12-17 22:52:50;6;2024-12-18 18:47:22;3;false
77;Rudder;37205-759;Complete inspection;Not good;FALSE;FALSE;TRUE;;2025-06-09;ftp://inspection-server/aircraft/B747/Rudder/37205-759/2025-06-09;TRUE;2;2025-06-09 11:29:42;8;2025-06-13 16:21:59;2;false
78;Aileron;36800-458;Rotating table plus camera;Not good;FALSE;TRUE;TRUE;;2025-04-03;ftp://inspection-server/aircraft/B777/Aileron/36800-458/2025-04-03;TRUE;3;2025-04-03 07:05:14;10;2025-04-06 21:58:26;3;false
79;Landing gear;0781-3245;Big robot arm;Not good;FALSE;TRUE;FALSE;;2025-03-31;ftp://inspection-server/aircraft/A380/Landing gear/0781-3245/2025-03-31;TRUE;3;2025-03-31 23:34:10;7;2025-04-06 21:12:45;3;false
80;Aileron;52904-455;Rotating table plus camera;Not good;TRUE;FALSE;FALSE;;2025-02-27;ftp://inspection-server/aircraft/B777/Aileron/52904-455/2025-02-27;TRUE;3;2025-02-27 21:39:50;5;2025-03-03 22:26:48;3;false
81;Flap;68084-243;Rotating table plus camera;Destroyed;TRUE;TRUE;TRUE;;2024-10-27;ftp://inspection-server/aircraft/A320neo/Flap/68084-243/2024-10-27;TRUE;1;2024-10-27 02:10:32;4;2024-11-01 15:51:19;1;false
82;Aileron;22431-200;Gantry system;Average;FALSE;TRUE;FALSE;weight recorded;2024-07-25;ftp://inspection-server/aircraft/Aileron/22431-200/2024-07-25;FALSE;;2024-07-25 12:44:49;6;;;false
83;Aileron;0338-0004;Rotating table plus camera;Average;TRUE;TRUE;FALSE;material composition checked;2025-05-15;ftp://inspection-server/aircraft/A380/Aileron/0338-0004/2025-05-15;TRUE;1;2025-05-15 23:04:13;9;2025-05-20 13:57:22;1;false
84;Engine cover;0472-0013;Camera only;Average;FALSE;TRUE;FALSE;;2024-09-24;ftp://inspection-server/aircraft/B777/Engine cover/0472-0013/2024-09-24;TRUE;1;2024-09-24 20:36:20;7;2024-09-29 18:44:40;1;false
85;Cockpit window;21695-110;Complete inspection;Really bad;TRUE;TRUE;FALSE;dimensions measured;2025-04-09;ftp://inspection-server/aircraft/A350/Cockpit window/21695-110/2025-04-09;TRUE;2;2025-04-09 01:35:01;5;2025-04-11 09:32:16;2;false
86;Cockpit window;0603-3740;Complete inspection;Not good;TRUE;TRUE;FALSE;;2024-08-13;ftp://inspection-server/aircraft/A320neo/Cockpit window/0603-3740/2024-08-13;TRUE;3;2024-08-13 05:34:08;5;2024-08-19 16:21:52;3;false
87;Fuselage panel;11822-0126;Gantry system;Not good;FALSE;TRUE;TRUE;;2024-10-21;ftp://inspection-server/aircraft/A350/Fuselage panel/11822-0126/2024-10-21;TRUE;2;2024-10-21 15:19:01;5;2024-10-25 23:20:44;2;false
88;Tail fin;0998-0204;Gantry system;Perfect;FALSE;FALSE;FALSE;;2024-12-18;ftp://inspection-server/aircraft/A350/Tail fin/0998-0204/2024-12-18;TRUE;1;2024-12-18 15:39:46;5;2024-12-19 05:24:15;1;false
89;Landing gear;42023-168;Rotating table plus camera;Not good;TRUE;TRUE;TRUE;color consistency verified;2024-09-24;ftp://inspection-server/aircraft/B737/Landing gear/42023-168/2024-09-24;TRUE;1;2024-09-24 09:25:03;4;2024-09-27 21:50:13;1;false
90;Cockpit window;0093-3045;Gantry system;Really bad;TRUE;FALSE;TRUE;;2024-09-04;ftp://inspection-server/aircraft/A380/Cockpit window/0093-3045/2024-09-04;TRUE;1;2024-09-04 11:14:33;4;2024-09-04 21:59:08;1;false
91;Elevator;0074-3020;Complete inspection;Destroyed;TRUE;TRUE;TRUE;;2024-12-22;ftp://inspection-server/aircraft/A350/Elevator/0074-3020/2024-12-22;TRUE;1;2024-12-22 17:44:59;6;2024-12-26 17:15:54;1;false
92;Fuselage panel;17630-2029;Gantry system;Average;FALSE;TRUE;TRUE;;2024-09-26;ftp://inspection-server/aircraft/Fuselage panel/17630-2029/2024-09-26;TRUE;2;2024-09-26 23:28:38;6;2024-10-01 05:08:44;2;false
93;Tail fin;0378-3350;Complete inspection;Perfect;FALSE;FALSE;FALSE;packaging condition assessed;2025-04-25;ftp://inspection-server/aircraft/B747/Tail fin/0378-3350/2025-04-25;TRUE;1;2025-04-25 08:12:54;10;2025-04-27 16:09:49;1;false
94;Wing A;48951-8022;Big robot arm;Average;TRUE;FALSE;TRUE;dimensions measured;2024-10-08;ftp://inspection-server/aircraft/B737/Wing A/48951-8022/2024-10-08;TRUE;2;2024-10-08 23:46:24;5;2024-10-09 20:22:41;2;false
95;Rudder;39313-001;Camera only;Not good;FALSE;TRUE;TRUE;packaging condition assessed;2025-06-09;ftp://inspection-server/aircraft/B787/Rudder/39313-001/2025-06-09;TRUE;3;2025-06-09 12:59:37;9;2025-06-14 09:28:39;3;false
96;Wing A;36987-2369;Complete inspection;Average;FALSE;TRUE;FALSE;;2024-11-24;ftp://inspection-server/aircraft/Wing A/36987-2369/2024-11-24;TRUE;1;2024-11-24 23:01:44;10;2024-11-26 09:45:55;1;false
97;Flap;36987-2112;Big robot arm;Average;FALSE;TRUE;TRUE;weight recorded;2025-04-15;ftp://inspection-server/aircraft/A320neo/Flap/36987-2112/2025-04-15;TRUE;2;2025-04-15 23:26:03;5;2025-04-20 19:15:27;2;false
98;Landing gear;58468-0100;Complete inspection;Good;FALSE;TRUE;FALSE;;2024-10-14;ftp://inspection-server/aircraft/A350/Landing gear/58468-0100/2024-10-14;TRUE;1;2024-10-14 00:53:58;10;2024-10-14 17:07:40;1;false
99;Elevator;50383-810;Gantry system;Really bad;TRUE;TRUE;TRUE;;2025-02-27;ftp://inspection-server/aircraft/Elevator/50383-810/2025-02-27;TRUE;1;2025-02-27 03:13:36;10;2025-03-04 15:55:33;1;false
100;Rudder;31722-328;Rotating table plus camera;Not good;TRUE;FALSE;FALSE;dimensions measured;2024-09-24;ftp://inspection-server/aircraft/A380/Rudder/31722-328/2024-09-24;TRUE;2;2024-09-24 01:49:55;6;2024-09-24 02:08:15;2;false
101;Aileron;0781-3317;Rotating table plus camera;Really bad;TRUE;TRUE;FALSE;;2025-02-15;ftp://inspection-server/aircraft/A380/Aileron/0781-3317/2025-02-15;TRUE;3;2025-02-15 05:29:11;6;2025-02-19 11:54:48;3;false
102;Tail fin;65862-211;Camera only;Really bad;TRUE;TRUE;FALSE;;2025-02-12;ftp://inspection-server/aircraft/A380/Tail fin/65862-211/2025-02-12;TRUE;1;2025-02-12 05:09:41;5;2025-02-15 12:24:28;1;false
103;Wing A;61957-0115;Complete inspection;Not good;TRUE;TRUE;TRUE;weight recorded;2025-03-28;ftp://inspection-server/aircraft/B787/Wing A/61957-0115/2025-03-28;TRUE;1;2025-03-28 14:54:58;5;2025-03-28 16:59:58;1;false
104;Rudder;63029-850;Complete inspection;Really bad;TRUE;TRUE;TRUE;material composition checked;2024-09-30;ftp://inspection-server/aircraft/A380/Rudder/63029-850/2024-09-30;TRUE;3;2024-09-30 15:44:25;6;2024-10-06 19:03:36;3;false
105;Wing A;49348-905;Complete inspection;Average;TRUE;TRUE;FALSE;packaging condition assessed;2024-06-11;ftp://inspection-server/aircraft/A380/Wing A/49348-905/2024-06-11;TRUE;1;2024-06-11 08:44:19;9;2024-06-13 22:39:48;1;false
106;Aileron;60505-0265;Rotating table plus camera;Destroyed;TRUE;TRUE;TRUE;;2025-04-30;ftp://inspection-server/aircraft/B777/Aileron/60505-0265/2025-04-30;TRUE;3;2025-04-30 17:39:59;6;2025-05-02 22:01:24;3;false
107;Cockpit window;51270-113;Camera only;Almost perfect;FALSE;FALSE;FALSE;;2025-06-03;ftp://inspection-server/aircraft/A320neo/Cockpit window/51270-113/2025-06-03;FALSE;;2025-06-03 15:48:09;7;;;false
108;Rudder;36987-1207;Camera only;Average;TRUE;FALSE;TRUE;material composition checked;2025-02-08;ftp://inspection-server/aircraft/Rudder/36987-1207/2025-02-08;TRUE;1;2025-02-08 19:53:24;9;2025-02-15 06:28:31;1;false
109;Landing gear;0378-0464;Gantry system;Not good;TRUE;TRUE;TRUE;;2025-05-30;ftp://inspection-server/aircraft/A320neo/Landing gear/0378-0464/2025-05-30;TRUE;1;2025-05-30 13:06:06;6;2025-06-05 19:47:46;1;false
110;Landing gear;42291-162;Rotating table plus camera;Really bad;FALSE;TRUE;TRUE;surface finish inspected;2024-08-14;ftp://inspection-server/aircraft/B787/Landing gear/42291-162/2024-08-14;TRUE;2;2024-08-14 08:17:39;8;2024-08-18 09:17:30;2;false
111;Wing A;63868-486;Complete inspection;Almost perfect;FALSE;FALSE;FALSE;;2024-11-02;ftp://inspection-server/aircraft/B787/Wing A/63868-486/2024-11-02;FALSE;;2024-11-02 01:39:22;8;;;false
